Iteracao;MelhorResultado;MediaResultados;
1;-797,796648077934833054314367473125;-685,838313305033693723089527338743;
2;-797,796648077934833054314367473125;-702,669597038417009571276139467955;
3;-797,796648077934833054314367473125;-721,286196277865656156791374087334;
4;-797,796648077934833054314367473125;-758,211501523125321000406984239817;
5;-797,796648077934833054314367473125;-758,211501523125321000406984239817;
6;-880,181867735119226381357293576002;-766,450023488843726227059960365295;
7;-880,181867735119226381357293576002;-766,450023488843726227059960365295;
8;-880,181867735119226381357293576002;-776,735722780376931950740981847048;
9;-957,709950622690939781023189425468;-784,488531069134069184656254947186;
10;-957,709950622690939781023189425468;-784,488531069134069184656254947186;
11;-957,709950622690939781023189425468;-784,488531069134069184656254947186;
12;-957,709950622690939781023189425468;-784,488531069134069184656254947186;
13;-957,709950622690939781023189425468;-784,488531069134069184656254947186;
14;-957,709950622690939781023189425468;-791,349260153525051464384887367487;
15;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
16;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
17;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
18;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
19;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
20;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
21;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
22;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
23;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
24;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
25;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
26;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
27;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
28;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
29;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
30;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
31;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
32;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
33;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
34;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
35;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
36;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
37;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
38;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
39;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
40;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
41;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
42;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
43;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
44;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
45;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
46;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
47;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
48;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
49;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
50;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
51;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
52;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
53;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
54;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
55;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
56;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
57;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
58;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
59;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
60;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
61;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
62;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
63;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
64;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
65;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
66;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
67;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
68;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
69;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
70;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
71;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
72;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
73;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
74;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
75;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
76;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
77;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
78;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
79;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
80;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
81;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
82;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
83;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
84;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
85;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
86;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
87;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
88;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
89;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
90;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
91;-957,709950622690939781023189425468;-792,548131540928807226009666919708;
