Iteracao;MelhorResultado;MediaResultados;
1;-545,904387241368226568738464266062;-652,535853231940336627303622663021;
2;-731,338864364098071746411733329296;-697,059890997237062038038857281208;
3;-731,338864364098071746411733329296;-710,323900298651096818502992391586;
4;-765,938404257810134367900900542736;-714,666827776185300535871647298336;
5;-843,789750917723040402051992714405;-737,545737258044368900300469249487;
6;-858,152432812047663901466876268387;-750,811767561260921866050921380520;
7;-858,152432812047663901466876268387;-754,921141040442080338834784924984;
8;-926,754265735809212856111116707325;-764,472276227750398902571760118008;
9;-926,754265735809212856111116707325;-764,472276227750398902571760118008;
10;-935,944368066050287779944483190775;-767,102047343693584480206482112408;
11;-959,606841683598304371116682887077;-769,468294705448556669580284506083;
12;-959,606841683598304371116682887077;-769,468294705448556669580284506083;
13;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
14;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
15;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
16;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
17;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
18;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
19;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
20;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
21;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
22;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
23;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
24;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
25;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
26;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
27;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
28;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
29;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
30;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
31;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
32;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
33;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
34;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
35;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
36;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
37;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
38;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
39;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
40;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
41;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
42;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
43;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
44;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
45;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
46;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
47;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
48;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
49;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
50;-959,606841683598304371116682887077;-769,844912937431217869743704795837;
